id,strategy_name,side,quantity,entry_price,latest_price,pnl,pnl_pct,stop_loss,take_profit,status,exit_reason,created_at
27,SMA Trend Following,buy,0.16982869550333288,73529.9765625,73529.9765625,0.0,0.0,67647.57843750001,88235.971875,open,,2026-05-30 10:32:18
26,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,8.377640614927795,0.0006708821313255493,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:30:09
25,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:26:50
24,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:24:52
23,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:24:50
22,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:24:47
21,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:23:41
20,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:23:35
19,SMA Trend Following,buy,0.16994263054053213,73480.6796875,73529.9765625,0.0,0.0,67602.2253125,88176.815625,closed,exit_signal,2026-05-30 10:23:12
18,BTC 1D Momentum Filter,buy,0.13595410443242587,73480.6796875,73529.9765625,6.702112491942244,0.0006708821313255493,66132.61171875,91116.0428125,open,,2026-05-30 10:23:12
17,RSI Starter 4H P10 20-50,buy,0.34022548656763196,73480.6796875,73529.9765625,16.77205328313873,0.0006708821313255493,72745.872890625,74950.29328125001,open,,2026-05-30 09:52:28
16,RSI Starter 1D P10 25-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,71983.35046875,76390.49437500001,open,,2026-05-30 09:47:59
15,RSI Starter 4H P10 20-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:47:59
14,RSI Starter 4H P21 30-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:47:59
13,RSI Starter 4H P10 20-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:47:44
12,RSI Starter 1D P10 25-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,71983.35046875,76390.49437500001,open,,2026-05-30 09:44:51
11,RSI Starter 4H P10 20-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:44:51
10,RSI Starter 4H P21 30-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:44:51
9,RSI Starter 1D P10 25-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,71983.35046875,76390.49437500001,open,,2026-05-30 09:39:51
8,RSI Starter 4H P10 20-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:39:51
7,RSI Starter 4H P21 30-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:39:51
6,RSI Starter 1D P10 25-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,71983.35046875,76390.49437500001,open,,2026-05-30 09:34:51
5,RSI Starter 4H P10 20-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:34:51
4,RSI Starter 4H P21 30-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:34:51
3,RSI Starter 1D P10 25-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,71983.35046875,76390.49437500001,open,,2026-05-30 09:33:54
2,RSI Starter 4H P10 20-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:33:54
1,RSI Starter 4H P21 30-50,buy,0.3400161265156101,73452.3984375,73529.9765625,26.377813564843812,0.0010561687113050575,72717.874453125,74921.44640625,open,,2026-05-30 09:33:54
